Aika;Yö (kWh);Päivä (kWh)
26.01.2021 04;1.84;0.00
26.01.2021 05;2.00;0.00
26.01.2021 06;1.91;0.00
26.01.2021 07;0.00;2.87
26.01.2021 08;0.00;4.07
26.01.2021 09;0.00;3.44
26.01.2021 10;0.00;3.41
26.01.2021 11;0.00;3.24
26.01.2021 12;0.00;3.26
26.01.2021 13;0.00;3.34
26.01.2021 14;0.00;2.71
26.01.2021 15;0.00;2.28
26.01.2021 16;0.00;2.19
26.01.2021 17;0.00;2.53
26.01.2021 18;0.00;2.27
26.01.2021 19;0.00;2.70
26.01.2021 20;0.00;3.15
26.01.2021 21;0.00;3.02
26.01.2021 22;4.51;0.00
26.01.2021 23;4.31;0.00
27.01.2021 00;2.38;0.00
27.01.2021 01;2.30;0.00
27.01.2021 02;1.94;0.00
27.01.2021 03;1.76;0.00
27.01.2021 04;1.74;0.00
27.01.2021 05;1.73;0.00
27.01.2021 06;1.72;0.00
27.01.2021 07;0.00;2.44
27.01.2021 08;0.00;2.88
27.01.2021 09;0.00;3.20
27.01.2021 10;0.00;2.77
27.01.2021 11;0.00;3.19
27.01.2021 12;0.00;2.84
27.01.2021 13;0.00;2.40
27.01.2021 14;0.00;2.05
27.01.2021 15;0.00;1.94
27.01.2021 16;0.00;2.09
27.01.2021 17;0.00;2.26
27.01.2021 18;0.00;3.76
27.01.2021 19;0.00;3.83
27.01.2021 20;0.00;3.94
27.01.2021 21;0.00;2.95
27.01.2021 22;4.49;0.00
27.01.2021 23;3.81;0.00
28.01.2021 00;2.33;0.00
28.01.2021 01;2.40;0.00
28.01.2021 02;1.76;0.00
28.01.2021 03;1.62;0.00
28.01.2021 04;1.73;0.00
28.01.2021 05;1.82;0.00
28.01.2021 06;1.74;0.00
28.01.2021 07;0.00;3.14
28.01.2021 08;0.00;4.31
28.01.2021 09;0.00;2.67
28.01.2021 10;0.00;2.68
28.01.2021 11;0.00;2.68
28.01.2021 12;0.00;2.81
28.01.2021 13;0.00;2.57
28.01.2021 14;0.00;1.89
28.01.2021 15;0.00;1.98
28.01.2021 16;0.00;1.95
28.01.2021 17;0.00;2.08
28.01.2021 18;0.00;2.36
28.01.2021 19;0.00;3.33
28.01.2021 20;0.00;3.29
28.01.2021 21;0.00;3.36
28.01.2021 22;4.89;0.00
28.01.2021 23;4.22;0.00
29.01.2021 00;2.75;0.00
29.01.2021 01;2.63;0.00
29.01.2021 02;1.92;0.00
29.01.2021 03;1.92;0.00
29.01.2021 04;1.86;0.00
29.01.2021 05;1.86;0.00
29.01.2021 06;1.98;0.00
29.01.2021 07;0.00;2.97
29.01.2021 08;0.00;4.64
29.01.2021 09;0.00;3.23
29.01.2021 10;0.00;3.13
29.01.2021 11;0.00;3.69
29.01.2021 12;0.00;3.03
29.01.2021 13;0.00;2.54
29.01.2021 14;0.00;1.93
29.01.2021 15;0.00;1.72
29.01.2021 16;0.00;1.84
29.01.2021 17;0.00;1.99
29.01.2021 18;0.00;2.41
29.01.2021 19;0.00;3.13
29.01.2021 20;0.00;3.06
29.01.2021 21;0.00;3.25
29.01.2021 22;4.98;0.00
29.01.2021 23;4.92;0.00
30.01.2021 00;3.52;0.00
30.01.2021 01;2.94;0.00
30.01.2021 02;2.90;0.00
30.01.2021 03;2.59;0.00
30.01.2021 04;2.13;0.00
30.01.2021 05;2.18;0.00
30.01.2021 06;2.26;0.00
30.01.2021 07;0.00;2.28
30.01.2021 08;0.00;2.94
30.01.2021 09;0.00;3.00
30.01.2021 10;0.00;3.50
30.01.2021 11;0.00;3.69
30.01.2021 12;0.00;4.20
30.01.2021 13;0.00;2.78
30.01.2021 14;0.00;2.37
30.01.2021 15;0.00;2.41
30.01.2021 16;0.00;1.96
30.01.2021 17;0.00;2.32
30.01.2021 18;0.00;2.32
30.01.2021 19;0.00;3.11
30.01.2021 20;0.00;2.78
30.01.2021 21;0.00;3.15
30.01.2021 22;4.71;0.00
30.01.2021 23;4.70;0.00
31.01.2021 00;2.85;0.00
31.01.2021 01;2.56;0.00
31.01.2021 02;2.68;0.00
31.01.2021 03;2.64;0.00
31.01.2021 04;2.70;0.00
31.01.2021 05;2.06;0.00
31.01.2021 06;1.96;0.00
31.01.2021 07;0.00;2.02
31.01.2021 08;0.00;2.17
31.01.2021 09;0.00;2.92
31.01.2021 10;0.00;2.99
31.01.2021 11;0.00;3.02
31.01.2021 12;0.00;3.59
31.01.2021 13;0.00;4.95
31.01.2021 14;0.00;3.13
31.01.2021 15;0.00;2.83
31.01.2021 16;0.00;3.59
31.01.2021 17;0.00;3.34
31.01.2021 18;0.00;2.72
31.01.2021 19;0.00;2.73
31.01.2021 20;0.00;3.11
31.01.2021 21;0.00;3.90
31.01.2021 22;5.66;0.00
31.01.2021 23;5.53;0.00
01.02.2021 00;5.27;0.00
01.02.2021 01;3.46;0.00
01.02.2021 02;3.38;0.00
01.02.2021 03;3.52;0.00
01.02.2021 04;3.46;0.00
01.02.2021 05;3.54;0.00
01.02.2021 06;3.82;0.00
01.02.2021 07;0.00;5.58
01.02.2021 08;0.00;5.25
01.02.2021 09;0.00;3.02
01.02.2021 10;0.00;2.94
01.02.2021 11;0.00;2.87
01.02.2021 12;0.00;3.63
01.02.2021 13;0.00;3.83
01.02.2021 14;0.00;3.74
01.02.2021 15;0.00;4.53
01.02.2021 16;0.00;4.43
01.02.2021 17;0.00;3.64
01.02.2021 18;0.00;4.82
01.02.2021 19;0.00;4.88
01.02.2021 20;0.00;4.33
01.02.2021 21;0.00;4.29
01.02.2021 22;5.54;0.00
01.02.2021 23;5.34;0.00
02.02.2021 00;4.83;0.00
02.02.2021 01;3.36;0.00
02.02.2021 02;3.43;0.00
02.02.2021 03;3.36;0.00
02.02.2021 04;3.34;0.00
02.02.2021 05;3.35;0.00
02.02.2021 06;3.46;0.00
02.02.2021 07;0.00;5.10
02.02.2021 08;0.00;6.13
02.02.2021 09;0.00;3.73
02.02.2021 10;0.00;3.96
02.02.2021 11;0.00;3.59
02.02.2021 12;0.00;3.33
02.02.2021 13;0.00;3.39
02.02.2021 14;0.00;2.95
02.02.2021 15;0.00;2.78
02.02.2021 16;0.00;2.74
02.02.2021 17;0.00;3.89
02.02.2021 18;0.00;3.30
02.02.2021 19;0.00;3.35
02.02.2021 20;0.00;3.74
02.02.2021 21;0.00;3.51
02.02.2021 22;4.86;0.00
02.02.2021 23;4.84;0.00
03.02.2021 00;3.36;0.00
03.02.2021 01;2.82;0.00
03.02.2021 02;2.82;0.00
03.02.2021 03;3.00;0.00
03.02.2021 04;2.94;0.00
03.02.2021 05;2.91;0.00
03.02.2021 06;3.09;0.00
03.02.2021 07;0.00;2.71
03.02.2021 08;0.00;5.00
03.02.2021 09;0.00;3.05
03.02.2021 10;0.00;2.92
03.02.2021 11;0.00;3.42
03.02.2021 12;0.00;3.34
03.02.2021 13;0.00;3.61
03.02.2021 14;0.00;3.53
03.02.2021 15;0.00;3.48
03.02.2021 16;0.00;3.50
03.02.2021 17;0.00;4.17
03.02.2021 18;0.00;3.68
03.02.2021 19;0.00;3.73
03.02.2021 20;0.00;3.89
03.02.2021 21;0.00;4.09
03.02.2021 22;5.86;0.00
03.02.2021 23;4.99;0.00
04.02.2021 00;3.29;0.00
04.02.2021 01;3.20;0.00
