Aika;Yö (kWh);Päivä (kWh)
01.10.2021 05;1.08;0.00
01.10.2021 06;1.10;0.00
01.10.2021 07;0.00;1.10
01.10.2021 08;0.00;1.12
01.10.2021 09;0.00;1.11
01.10.2021 10;0.00;1.10
01.10.2021 11;0.00;1.07
01.10.2021 12;0.00;1.05
01.10.2021 13;0.00;1.03
01.10.2021 14;0.00;1.04
01.10.2021 15;0.00;1.06
01.10.2021 16;0.00;1.06
01.10.2021 17;0.00;1.04
01.10.2021 18;0.00;1.07
01.10.2021 19;0.00;1.10
01.10.2021 20;0.00;1.12
01.10.2021 21;0.00;1.12
01.10.2021 22;1.39;0.00
01.10.2021 23;3.18;0.00
02.10.2021 00;2.07;0.00
02.10.2021 01;1.10;0.00
02.10.2021 02;1.11;0.00
02.10.2021 03;1.11;0.00
02.10.2021 04;1.10;0.00
02.10.2021 05;1.12;0.00
02.10.2021 06;1.14;0.00
02.10.2021 07;0.00;1.12
02.10.2021 08;0.00;1.09
02.10.2021 09;0.00;1.11
02.10.2021 10;0.00;1.11
02.10.2021 11;0.00;1.09
02.10.2021 12;0.00;1.02
02.10.2021 13;0.00;0.96
02.10.2021 14;0.00;0.88
02.10.2021 15;0.00;0.81
02.10.2021 16;0.00;0.81
02.10.2021 17;0.00;0.82
02.10.2021 18;0.00;0.86
02.10.2021 19;0.00;0.92
02.10.2021 20;0.00;0.95
02.10.2021 21;0.00;1.01
02.10.2021 22;1.31;0.00
02.10.2021 23;3.12;0.00
03.10.2021 00;2.01;0.00
03.10.2021 01;1.14;0.00
03.10.2021 02;1.19;0.00
03.10.2021 03;1.22;0.00
03.10.2021 04;1.25;0.00
03.10.2021 05;1.29;0.00
03.10.2021 06;1.36;0.00
03.10.2021 07;0.00;1.32
03.10.2021 08;0.00;1.32
03.10.2021 09;0.00;1.32
03.10.2021 10;0.00;1.28
03.10.2021 11;0.00;1.20
03.10.2021 12;0.00;1.10
03.10.2021 13;0.00;1.01
03.10.2021 14;0.00;0.90
03.10.2021 15;0.00;0.79
03.10.2021 16;0.00;0.79
03.10.2021 17;0.00;0.78
03.10.2021 18;0.00;0.82
03.10.2021 19;0.00;0.87
03.10.2021 20;0.00;0.90
03.10.2021 21;0.00;0.96
03.10.2021 22;1.23;0.00
03.10.2021 23;3.08;0.00
04.10.2021 00;1.93;0.00
04.10.2021 01;1.08;0.00
04.10.2021 02;1.08;0.00
04.10.2021 03;1.10;0.00
04.10.2021 04;1.15;0.00
04.10.2021 05;1.18;0.00
04.10.2021 06;1.20;0.00
04.10.2021 07;0.00;1.21
04.10.2021 08;0.00;1.22
04.10.2021 09;0.00;1.23
04.10.2021 10;0.00;1.16
04.10.2021 11;0.00;1.12
04.10.2021 12;0.00;1.02
04.10.2021 13;0.00;0.93
04.10.2021 14;0.00;0.84
04.10.2021 15;0.00;0.76
04.10.2021 16;0.00;0.75
04.10.2021 17;0.00;0.78
04.10.2021 18;0.00;1.05
04.10.2021 19;0.00;1.68
04.10.2021 20;0.00;1.45
04.10.2021 21;0.00;1.47
04.10.2021 22;2.33;0.00
04.10.2021 23;4.04;0.00
05.10.2021 00;2.97;0.00
05.10.2021 01;1.94;0.00
05.10.2021 02;1.51;0.00
05.10.2021 03;1.32;0.00
05.10.2021 04;1.27;0.00
05.10.2021 05;1.15;0.00
05.10.2021 06;1.40;0.00
05.10.2021 07;0.00;1.81
05.10.2021 08;0.00;1.87
05.10.2021 09;0.00;2.00
05.10.2021 10;0.00;1.76
05.10.2021 11;0.00;1.20
05.10.2021 12;0.00;1.19
05.10.2021 13;0.00;1.21
05.10.2021 14;0.00;0.97
05.10.2021 15;0.00;0.87
05.10.2021 16;0.00;0.89
05.10.2021 17;0.00;0.81
05.10.2021 18;0.00;0.79
05.10.2021 19;0.00;0.87
05.10.2021 20;0.00;1.02
05.10.2021 21;0.00;1.52
05.10.2021 22;1.62;0.00
05.10.2021 23;2.80;0.00
06.10.2021 00;1.81;0.00
06.10.2021 01;0.82;0.00
06.10.2021 02;0.81;0.00
06.10.2021 03;0.88;0.00
06.10.2021 04;0.84;0.00
06.10.2021 05;0.87;0.00
06.10.2021 06;0.85;0.00
06.10.2021 07;0.00;1.23
06.10.2021 08;0.00;1.80
06.10.2021 09;0.00;1.23
06.10.2021 10;0.00;0.92
06.10.2021 11;0.00;0.97
06.10.2021 12;0.00;0.75
06.10.2021 13;0.00;0.77
06.10.2021 14;0.00;0.60
06.10.2021 15;0.00;0.62
06.10.2021 16;0.00;0.80
06.10.2021 17;0.00;0.71
06.10.2021 18;0.00;0.72
06.10.2021 19;0.00;0.84
06.10.2021 20;0.00;0.73
06.10.2021 21;0.00;0.80
06.10.2021 22;1.02;0.00
06.10.2021 23;2.86;0.00
07.10.2021 00;1.75;0.00
07.10.2021 01;0.74;0.00
07.10.2021 02;0.70;0.00
07.10.2021 03;0.72;0.00
07.10.2021 04;0.69;0.00
07.10.2021 05;0.73;0.00
07.10.2021 06;0.81;0.00
07.10.2021 07;0.00;0.83
07.10.2021 08;0.00;0.95
07.10.2021 09;0.00;0.86
07.10.2021 10;0.00;0.87
07.10.2021 11;0.00;0.91
07.10.2021 12;0.00;0.74
07.10.2021 13;0.00;0.98
07.10.2021 14;0.00;0.72
07.10.2021 15;0.00;0.87
07.10.2021 16;0.00;0.74
07.10.2021 17;0.00;0.97
07.10.2021 18;0.00;0.78
07.10.2021 19;0.00;0.75
07.10.2021 20;0.00;0.86
07.10.2021 21;0.00;0.84
07.10.2021 22;1.11;0.00
07.10.2021 23;2.69;0.00
08.10.2021 00;1.39;0.00
08.10.2021 01;0.70;0.00
08.10.2021 02;0.69;0.00
08.10.2021 03;0.70;0.00
08.10.2021 04;0.71;0.00
08.10.2021 05;0.70;0.00
08.10.2021 06;0.72;0.00
08.10.2021 07;0.00;1.09
08.10.2021 08;0.00;0.93
08.10.2021 09;0.00;0.65
08.10.2021 10;0.00;0.62
08.10.2021 11;0.00;0.66
08.10.2021 12;0.00;0.64
08.10.2021 13;0.00;0.70
08.10.2021 14;0.00;0.56
08.10.2021 15;0.00;0.80
08.10.2021 16;0.00;0.76
08.10.2021 17;0.00;0.77
08.10.2021 18;0.00;0.74
08.10.2021 19;0.00;0.84
08.10.2021 20;0.00;0.83
08.10.2021 21;0.00;1.13
08.10.2021 22;2.24;0.00
08.10.2021 23;3.85;0.00
09.10.2021 00;2.34;0.00
09.10.2021 01;1.59;0.00
09.10.2021 02;1.53;0.00
09.10.2021 03;1.60;0.00
09.10.2021 04;0.70;0.00
09.10.2021 05;0.78;0.00
09.10.2021 06;0.69;0.00
09.10.2021 07;0.00;0.78
09.10.2021 08;0.00;0.69
09.10.2021 09;0.00;0.74
09.10.2021 10;0.00;0.88
09.10.2021 11;0.00;0.85
09.10.2021 12;0.00;0.74
09.10.2021 13;0.00;0.80
09.10.2021 14;0.00;1.13
09.10.2021 15;0.00;1.12
09.10.2021 16;0.00;0.94
09.10.2021 17;0.00;1.34
09.10.2021 18;0.00;1.70
09.10.2021 19;0.00;1.44
09.10.2021 20;0.00;0.96
09.10.2021 21;0.00;0.94
09.10.2021 22;1.09;0.00
09.10.2021 23;2.92;0.00
10.10.2021 00;2.82;0.00
10.10.2021 01;2.80;0.00
10.10.2021 02;2.20;0.00
10.10.2021 03;0.80;0.00
10.10.2021 04;1.24;0.00
10.10.2021 05;1.68;0.00
10.10.2021 06;1.57;0.00
10.10.2021 07;0.00;1.43
10.10.2021 08;0.00;0.79
10.10.2021 09;0.00;0.80
10.10.2021 10;0.00;0.94
10.10.2021 11;0.00;1.26
10.10.2021 12;0.00;1.05
10.10.2021 13;0.00;1.03
10.10.2021 14;0.00;1.99
10.10.2021 15;0.00;0.81
10.10.2021 16;0.00;0.84
10.10.2021 17;0.00;0.92
10.10.2021 18;0.00;1.07
10.10.2021 19;0.00;1.13
10.10.2021 20;0.00;0.96
10.10.2021 21;0.00;0.85
10.10.2021 22;1.30;0.00
10.10.2021 23;2.68;0.00
11.10.2021 00;2.68;0.00
11.10.2021 01;2.79;0.00
11.10.2021 02;1.35;0.00
11.10.2021 03;1.39;0.00
11.10.2021 04;1.63;0.00
11.10.2021 05;1.67;0.00
11.10.2021 06;1.51;0.00
11.10.2021 07;0.00;0.88
11.10.2021 08;0.00;1.03
11.10.2021 09;0.00;0.89
11.10.2021 10;0.00;1.08
11.10.2021 11;0.00;1.04
11.10.2021 12;0.00;1.29
11.10.2021 13;0.00;1.83
11.10.2021 14;0.00;1.06
11.10.2021 15;0.00;1.09
11.10.2021 16;0.00;1.05
11.10.2021 17;0.00;1.13
11.10.2021 18;0.00;1.33
11.10.2021 19;0.00;1.32
11.10.2021 20;0.00;1.75
11.10.2021 21;0.00;1.64
11.10.2021 22;1.44;0.00
11.10.2021 23;3.05;0.00
12.10.2021 00;1.88;0.00
12.10.2021 01;1.06;0.00
12.10.2021 02;1.00;0.00
12.10.2021 03;1.11;0.00
12.10.2021 04;1.01;0.00
12.10.2021 05;2.17;0.00
12.10.2021 06;2.39;0.00
12.10.2021 07;0.00;2.29
12.10.2021 08;0.00;2.16
12.10.2021 09;0.00;1.42
12.10.2021 10;0.00;1.23
12.10.2021 11;0.00;1.22
12.10.2021 12;0.00;1.28
12.10.2021 13;0.00;2.83
12.10.2021 14;0.00;1.76
12.10.2021 15;0.00;1.88
12.10.2021 16;0.00;1.30
12.10.2021 17;0.00;1.29
12.10.2021 18;0.00;1.21
12.10.2021 19;0.00;1.41
12.10.2021 20;0.00;1.20
12.10.2021 21;0.00;1.46
12.10.2021 22;2.13;0.00
12.10.2021 23;3.83;0.00
13.10.2021 00;3.86;0.00
13.10.2021 01;3.88;0.00
13.10.2021 02;2.11;0.00
13.10.2021 03;1.18;0.00
13.10.2021 04;1.07;0.00
13.10.2021 05;1.23;0.00
13.10.2021 06;1.19;0.00
13.10.2021 07;0.00;1.26
13.10.2021 08;0.00;1.19
13.10.2021 09;0.00;1.34
13.10.2021 10;0.00;1.19
13.10.2021 11;0.00;1.11
13.10.2021 12;0.00;1.60
13.10.2021 13;0.00;1.30
13.10.2021 14;0.00;1.34
13.10.2021 15;0.00;1.30
13.10.2021 16;0.00;1.50
13.10.2021 17;0.00;1.89
13.10.2021 18;0.00;3.55
13.10.2021 19;0.00;2.23
13.10.2021 20;0.00;2.25
13.10.2021 21;0.00;1.73
13.10.2021 22;1.81;0.00
13.10.2021 23;3.45;0.00
14.10.2021 00;2.68;0.00
14.10.2021 01;1.31;0.00
14.10.2021 02;1.50;0.00
14.10.2021 03;1.63;0.00
14.10.2021 04;1.58;0.00
14.10.2021 05;1.75;0.00
14.10.2021 06;1.70;0.00
14.10.2021 07;0.00;2.42
14.10.2021 08;0.00;2.70
14.10.2021 09;0.00;2.62
14.10.2021 10;0.00;2.36
14.10.2021 11;0.00;1.66
14.10.2021 12;0.00;1.97
14.10.2021 13;0.00;1.72
14.10.2021 14;0.00;1.39
14.10.2021 15;0.00;1.27
14.10.2021 16;0.00;1.37
14.10.2021 17;0.00;1.56
14.10.2021 18;0.00;2.11
14.10.2021 19;0.00;2.30
14.10.2021 20;0.00;2.07
14.10.2021 21;0.00;1.75
14.10.2021 22;1.65;0.00
14.10.2021 23;3.40;0.00
15.10.2021 00;3.34;0.00
15.10.2021 01;3.63;0.00
15.10.2021 02;2.19;0.00
15.10.2021 03;2.21;0.00
15.10.2021 04;2.13;0.00
15.10.2021 05;1.97;0.00
15.10.2021 06;1.38;0.00
15.10.2021 07;0.00;1.30
15.10.2021 08;0.00;1.52
15.10.2021 09;0.00;1.37
15.10.2021 10;0.00;1.73
15.10.2021 11;0.00;1.50
15.10.2021 12;0.00;1.71
15.10.2021 13;0.00;2.78
15.10.2021 14;0.00;2.12
15.10.2021 15;0.00;1.74
15.10.2021 16;0.00;1.37
15.10.2021 17;0.00;2.34
15.10.2021 18;0.00;2.35
15.10.2021 19;0.00;2.54
15.10.2021 20;0.00;2.30
15.10.2021 21;0.00;1.72
15.10.2021 22;1.84;0.00
15.10.2021 23;3.53;0.00
16.10.2021 00;3.30;0.00
16.10.2021 01;1.65;0.00
16.10.2021 02;1.25;0.00
16.10.2021 03;1.16;0.00
16.10.2021 04;1.27;0.00
16.10.2021 05;1.22;0.00
16.10.2021 06;1.47;0.00
16.10.2021 07;0.00;2.17
16.10.2021 08;0.00;2.27
16.10.2021 09;0.00;2.20
16.10.2021 10;0.00;2.27
16.10.2021 11;0.00;1.48
16.10.2021 12;0.00;2.08
16.10.2021 13;0.00;1.34
16.10.2021 14;0.00;1.40
16.10.2021 15;0.00;1.84
16.10.2021 16;0.00;1.85
16.10.2021 17;0.00;2.19
16.10.2021 18;0.00;1.44
16.10.2021 19;0.00;1.74
16.10.2021 20;0.00;1.76
16.10.2021 21;0.00;1.76
16.10.2021 22;1.60;0.00
16.10.2021 23;3.47;0.00
17.10.2021 00;3.31;0.00
17.10.2021 01;3.40;0.00
17.10.2021 02;1.79;0.00
17.10.2021 03;2.17;0.00
17.10.2021 04;2.18;0.00
17.10.2021 05;2.23;0.00
17.10.2021 06;1.98;0.00
17.10.2021 07;0.00;1.25
17.10.2021 08;0.00;1.18
17.10.2021 09;0.00;1.17
17.10.2021 10;0.00;1.23
17.10.2021 11;0.00;2.17
17.10.2021 12;0.00;2.77
17.10.2021 13;0.00;2.06
17.10.2021 14;0.00;2.47
17.10.2021 15;0.00;1.31
17.10.2021 16;0.00;1.27
17.10.2021 17;0.00;1.29
17.10.2021 18;0.00;1.37
17.10.2021 19;0.00;1.50
17.10.2021 20;0.00;1.45
17.10.2021 21;0.00;1.52
17.10.2021 22;1.79;0.00
17.10.2021 23;4.04;0.00
18.10.2021 00;4.29;0.00
18.10.2021 01;2.37;0.00
18.10.2021 02;2.20;0.00
18.10.2021 03;1.72;0.00
18.10.2021 04;1.40;0.00
18.10.2021 05;1.37;0.00
18.10.2021 06;1.50;0.00
18.10.2021 07;0.00;2.19
18.10.2021 08;0.00;1.89
18.10.2021 09;0.00;1.76
18.10.2021 10;0.00;1.63
18.10.2021 11;0.00;2.22
18.10.2021 12;0.00;2.69
18.10.2021 13;0.00;2.21
18.10.2021 14;0.00;2.43
18.10.2021 15;0.00;1.73
18.10.2021 16;0.00;1.85
18.10.2021 17;0.00;2.08
18.10.2021 18;0.00;1.61
18.10.2021 19;0.00;1.80
18.10.2021 20;0.00;1.81
18.10.2021 21;0.00;1.68
18.10.2021 22;1.89;0.00
18.10.2021 23;3.58;0.00
19.10.2021 00;2.42;0.00
19.10.2021 01;2.26;0.00
19.10.2021 02;2.28;0.00
19.10.2021 03;2.19;0.00
19.10.2021 04;2.35;0.00
19.10.2021 05;1.52;0.00
19.10.2021 06;1.61;0.00
19.10.2021 07;0.00;2.88
19.10.2021 08;0.00;2.06
19.10.2021 09;0.00;1.72
19.10.2021 10;0.00;1.76
19.10.2021 11;0.00;2.46
19.10.2021 12;0.00;1.86
19.10.2021 13;0.00;1.61
19.10.2021 14;0.00;1.37
19.10.2021 15;0.00;1.36
19.10.2021 16;0.00;1.43
19.10.2021 17;0.00;1.33
19.10.2021 18;0.00;1.40
19.10.2021 19;0.00;1.58
19.10.2021 20;0.00;1.49
19.10.2021 21;0.00;1.63
19.10.2021 22;1.90;0.00
19.10.2021 23;3.89;0.00
20.10.2021 00;4.12;0.00
20.10.2021 01;2.28;0.00
20.10.2021 02;2.34;0.00
20.10.2021 03;2.31;0.00
20.10.2021 04;2.03;0.00
20.10.2021 05;1.45;0.00
20.10.2021 06;1.44;0.00
20.10.2021 07;0.00;1.88
20.10.2021 08;0.00;2.41
20.10.2021 09;0.00;1.66
20.10.2021 10;0.00;1.95
20.10.2021 11;0.00;2.08
20.10.2021 12;0.00;2.47
20.10.2021 13;0.00;2.60
20.10.2021 14;0.00;2.53
20.10.2021 15;0.00;3.44
20.10.2021 16;0.00;2.42
20.10.2021 17;0.00;1.52
20.10.2021 18;0.00;1.68
20.10.2021 19;0.00;1.84
20.10.2021 20;0.00;1.52
20.10.2021 21;0.00;1.53
20.10.2021 22;1.42;0.00
20.10.2021 23;3.08;0.00
21.10.2021 00;1.96;0.00
21.10.2021 01;1.59;0.00
21.10.2021 02;1.69;0.00
21.10.2021 03;1.66;0.00
21.10.2021 04;1.34;0.00
21.10.2021 05;0.85;0.00
21.10.2021 06;0.82;0.00
21.10.2021 07;0.00;1.12
21.10.2021 08;0.00;0.94
21.10.2021 09;0.00;0.82
21.10.2021 10;0.00;0.83
21.10.2021 11;0.00;0.83
21.10.2021 12;0.00;0.81
21.10.2021 13;0.00;0.76
21.10.2021 14;0.00;0.81
21.10.2021 15;0.00;0.76
21.10.2021 16;0.00;0.77
21.10.2021 17;0.00;0.98
21.10.2021 18;0.00;1.05
21.10.2021 19;0.00;0.99
21.10.2021 20;0.00;0.94
21.10.2021 21;0.00;0.90
21.10.2021 22;1.14;0.00
21.10.2021 23;2.97;0.00
22.10.2021 00;1.56;0.00
22.10.2021 01;0.87;0.00
22.10.2021 02;0.93;0.00
22.10.2021 03;0.96;0.00
22.10.2021 04;1.76;0.00
22.10.2021 05;1.68;0.00
22.10.2021 06;1.81;0.00
22.10.2021 07;0.00;1.70
22.10.2021 08;0.00;1.02
22.10.2021 09;0.00;1.00
22.10.2021 10;0.00;1.09
22.10.2021 11;0.00;1.12
22.10.2021 12;0.00;1.03
22.10.2021 13;0.00;1.14
22.10.2021 14;0.00;1.33
22.10.2021 15;0.00;1.19
22.10.2021 16;0.00;1.18
22.10.2021 17;0.00;1.24
22.10.2021 18;0.00;1.97
22.10.2021 19;0.00;2.15
22.10.2021 20;0.00;2.15
22.10.2021 21;0.00;2.20
22.10.2021 22;2.05;0.00
22.10.2021 23;3.37;0.00
23.10.2021 00;2.31;0.00
23.10.2021 01;1.42;0.00
23.10.2021 02;1.39;0.00
23.10.2021 03;1.45;0.00
23.10.2021 04;1.34;0.00
23.10.2021 05;1.41;0.00
23.10.2021 06;1.83;0.00
23.10.2021 07;0.00;2.25
23.10.2021 08;0.00;2.29
23.10.2021 09;0.00;2.34
23.10.2021 10;0.00;2.30
23.10.2021 11;0.00;1.68
23.10.2021 12;0.00;1.57
23.10.2021 13;0.00;1.44
23.10.2021 14;0.00;1.83
23.10.2021 15;0.00;1.48
23.10.2021 16;0.00;1.51
23.10.2021 17;0.00;1.71
23.10.2021 18;0.00;1.62
23.10.2021 19;0.00;2.25
23.10.2021 20;0.00;2.94
23.10.2021 21;0.00;2.56
23.10.2021 22;2.64;0.00
23.10.2021 23;4.41;0.00
24.10.2021 00;4.21;0.00
24.10.2021 01;1.57;0.00
24.10.2021 02;1.58;0.00
24.10.2021 03;1.65;0.00
24.10.2021 04;1.57;0.00
24.10.2021 05;1.62;0.00
24.10.2021 06;1.72;0.00
24.10.2021 07;0.00;1.85
24.10.2021 08;0.00;2.48
24.10.2021 09;0.00;2.54
24.10.2021 10;0.00;2.62
24.10.2021 11;0.00;2.35
24.10.2021 12;0.00;1.81
24.10.2021 13;0.00;1.44
24.10.2021 14;0.00;1.66
24.10.2021 15;0.00;1.60
24.10.2021 16;0.00;1.54
24.10.2021 17;0.00;1.59
24.10.2021 18;0.00;1.68
24.10.2021 19;0.00;1.63
24.10.2021 20;0.00;1.72
24.10.2021 21;0.00;1.65
24.10.2021 22;1.72;0.00
24.10.2021 23;3.53;0.00
25.10.2021 00;2.32;0.00
25.10.2021 01;1.44;0.00
25.10.2021 02;1.72;0.00
25.10.2021 03;2.22;0.00
25.10.2021 04;2.23;0.00
25.10.2021 05;2.10;0.00
25.10.2021 06;2.07;0.00
25.10.2021 07;0.00;1.55
25.10.2021 08;0.00;1.14
25.10.2021 09;0.00;1.06
25.10.2021 10;0.00;1.39
25.10.2021 11;0.00;1.11
25.10.2021 12;0.00;1.26
25.10.2021 13;0.00;1.23
25.10.2021 14;0.00;1.34
25.10.2021 15;0.00;1.40
25.10.2021 16;0.00;1.07
25.10.2021 17;0.00;1.31
25.10.2021 18;0.00;3.56
25.10.2021 19;0.00;3.69
25.10.2021 20;0.00;3.01
25.10.2021 21;0.00;2.68
25.10.2021 22;2.27;0.00
25.10.2021 23;3.78;0.00
26.10.2021 00;2.35;0.00
26.10.2021 01;1.46;0.00
26.10.2021 02;1.46;0.00
26.10.2021 03;1.46;0.00
26.10.2021 04;1.25;0.00
26.10.2021 05;1.51;0.00
26.10.2021 06;1.28;0.00
26.10.2021 07;0.00;1.40
26.10.2021 08;0.00;2.06
26.10.2021 09;0.00;2.23
26.10.2021 10;0.00;2.35
26.10.2021 11;0.00;2.28
26.10.2021 12;0.00;1.84
26.10.2021 13;0.00;2.38
26.10.2021 14;0.00;1.29
26.10.2021 15;0.00;1.29
26.10.2021 16;0.00;1.98
26.10.2021 17;0.00;1.49
26.10.2021 18;0.00;2.41
26.10.2021 19;0.00;2.31
26.10.2021 20;0.00;1.46
26.10.2021 21;0.00;1.20
26.10.2021 22;1.42;0.00
26.10.2021 23;3.13;0.00
27.10.2021 00;2.48;0.00
27.10.2021 01;1.88;0.00
27.10.2021 02;1.96;0.00
27.10.2021 03;1.98;0.00
27.10.2021 04;1.44;0.00
27.10.2021 05;1.04;0.00
27.10.2021 06;1.23;0.00
27.10.2021 07;0.00;1.10
27.10.2021 08;0.00;1.10
27.10.2021 09;0.00;1.43
27.10.2021 10;0.00;1.22
27.10.2021 11;0.00;1.04
27.10.2021 12;0.00;1.10
27.10.2021 13;0.00;1.17
27.10.2021 14;0.00;1.07
27.10.2021 15;0.00;1.10
27.10.2021 16;0.00;1.30
27.10.2021 17;0.00;1.27
27.10.2021 18;0.00;1.61
27.10.2021 19;0.00;2.40
27.10.2021 20;0.00;2.21
27.10.2021 21;0.00;2.28
27.10.2021 22;1.97;0.00
27.10.2021 23;3.19;0.00
28.10.2021 00;1.75;0.00
28.10.2021 01;1.21;0.00
28.10.2021 02;1.17;0.00
28.10.2021 03;1.18;0.00
28.10.2021 04;1.25;0.00
28.10.2021 05;1.22;0.00
28.10.2021 06;1.21;0.00
28.10.2021 07;0.00;1.25
28.10.2021 08;0.00;1.13
28.10.2021 09;0.00;1.85
28.10.2021 10;0.00;2.25
28.10.2021 11;0.00;2.03
28.10.2021 12;0.00;2.25
28.10.2021 13;0.00;2.14
28.10.2021 14;0.00;2.06
28.10.2021 15;0.00;1.16
28.10.2021 16;0.00;1.23
28.10.2021 17;0.00;1.27
28.10.2021 18;0.00;1.22
28.10.2021 19;0.00;1.45
28.10.2021 20;0.00;1.42
28.10.2021 21;0.00;1.33
28.10.2021 22;1.52;0.00
28.10.2021 23;3.17;0.00
29.10.2021 00;2.56;0.00
29.10.2021 01;1.85;0.00
29.10.2021 02;1.88;0.00
29.10.2021 03;1.90;0.00
29.10.2021 04;1.57;0.00
29.10.2021 05;1.04;0.00
29.10.2021 06;1.00;0.00
29.10.2021 07;0.00;1.07
29.10.2021 08;0.00;1.03
29.10.2021 09;0.00;1.03
29.10.2021 10;0.00;1.09
29.10.2021 11;0.00;1.17
29.10.2021 12;0.00;1.14
29.10.2021 13;0.00;0.95
29.10.2021 14;0.00;0.91
29.10.2021 15;0.00;0.95
29.10.2021 16;0.00;1.09
29.10.2021 17;0.00;1.13
29.10.2021 18;0.00;1.12
29.10.2021 19;0.00;1.21
29.10.2021 20;0.00;1.35
29.10.2021 21;0.00;1.35
29.10.2021 22;1.42;0.00
29.10.2021 23;3.30;0.00
30.10.2021 00;2.17;0.00
30.10.2021 01;1.42;0.00
30.10.2021 02;1.22;0.00
30.10.2021 03;1.27;0.00
30.10.2021 04;1.81;0.00
30.10.2021 05;1.97;0.00
30.10.2021 06;2.02;0.00
30.10.2021 07;0.00;2.03
30.10.2021 08;0.00;1.11
30.10.2021 09;0.00;1.15
30.10.2021 10;0.00;1.15
30.10.2021 11;0.00;1.11
30.10.2021 12;0.00;1.21
30.10.2021 13;0.00;1.97
30.10.2021 14;0.00;1.65
30.10.2021 15;0.00;1.25
30.10.2021 16;0.00;1.29
30.10.2021 17;0.00;1.30
30.10.2021 18;0.00;1.80
30.10.2021 19;0.00;1.38
30.10.2021 20;0.00;1.46
30.10.2021 21;0.00;2.04
30.10.2021 22;2.51;0.00
30.10.2021 23;4.15;0.00
31.10.2021 00;4.23;0.00
31.10.2021 01;1.81;0.00
31.10.2021 02;1.30;0.00
31.10.2021 03;1.28;0.00
31.10.2021 03;1.14;0.00
31.10.2021 04;1.14;0.00
31.10.2021 05;1.17;0.00
31.10.2021 06;1.21;0.00
31.10.2021 07;0.00;1.22
31.10.2021 08;0.00;1.12
31.10.2021 09;0.00;1.21
31.10.2021 10;0.00;1.22
31.10.2021 11;0.00;1.59
31.10.2021 12;0.00;2.00
31.10.2021 13;0.00;2.64
31.10.2021 14;0.00;2.38
31.10.2021 15;0.00;1.52
31.10.2021 16;0.00;1.58
31.10.2021 17;0.00;1.70
31.10.2021 18;0.00;1.59
31.10.2021 19;0.00;1.51
31.10.2021 20;0.00;2.71
31.10.2021 21;0.00;2.00
31.10.2021 22;3.61;0.00
31.10.2021 23;3.30;0.00
01.11.2021 00;3.16;0.00
01.11.2021 01;2.77;0.00
01.11.2021 02;1.08;0.00
01.11.2021 03;1.80;0.00
01.11.2021 04;2.02;0.00
01.11.2021 05;1.88;0.00
01.11.2021 06;2.37;0.00
01.11.2021 07;0.00;1.84
01.11.2021 08;0.00;1.68
01.11.2021 09;0.00;1.55
01.11.2021 10;0.00;1.37
01.11.2021 11;0.00;1.31
01.11.2021 12;0.00;1.51
01.11.2021 13;0.00;1.89
01.11.2021 14;0.00;1.61
01.11.2021 15;0.00;1.34
01.11.2021 16;0.00;1.39
01.11.2021 17;0.00;1.45
01.11.2021 18;0.00;2.85
01.11.2021 19;0.00;1.65
01.11.2021 20;0.00;2.61
01.11.2021 21;0.00;2.92
01.11.2021 22;4.10;0.00
01.11.2021 23;4.01;0.00
02.11.2021 00;3.46;0.00
02.11.2021 01;1.56;0.00
02.11.2021 02;1.33;0.00
02.11.2021 03;1.33;0.00
02.11.2021 04;1.37;0.00
02.11.2021 05;1.38;0.00
02.11.2021 06;1.35;0.00
02.11.2021 07;0.00;1.82
02.11.2021 08;0.00;2.35
02.11.2021 09;0.00;1.59
02.11.2021 10;0.00;2.10
02.11.2021 11;0.00;2.42
02.11.2021 12;0.00;3.55
02.11.2021 13;0.00;2.66
02.11.2021 14;0.00;1.79
02.11.2021 15;0.00;1.83
02.11.2021 16;0.00;1.81
02.11.2021 17;0.00;2.91
02.11.2021 18;0.00;2.48
02.11.2021 19;0.00;1.52
02.11.2021 20;0.00;1.71
02.11.2021 21;0.00;2.12
02.11.2021 22;3.73;0.00
02.11.2021 23;3.53;0.00
03.11.2021 00;4.08;0.00
03.11.2021 01;2.23;0.00
03.11.2021 02;2.01;0.00
03.11.2021 03;2.08;0.00
03.11.2021 04;1.23;0.00
03.11.2021 05;1.19;0.00
03.11.2021 06;1.31;0.00
03.11.2021 07;0.00;3.10
03.11.2021 08;0.00;2.26
03.11.2021 09;0.00;1.41
03.11.2021 10;0.00;1.48
03.11.2021 11;0.00;1.50
03.11.2021 12;0.00;1.70
03.11.2021 13;0.00;3.35
03.11.2021 14;0.00;2.47
03.11.2021 15;0.00;2.44
03.11.2021 16;0.00;2.56
03.11.2021 17;0.00;2.52
03.11.2021 18;0.00;3.37
03.11.2021 19;0.00;1.60
03.11.2021 20;0.00;1.67
03.11.2021 21;0.00;1.68
03.11.2021 22;3.26;0.00
03.11.2021 23;3.27;0.00
04.11.2021 00;1.52;0.00
04.11.2021 01;1.13;0.00
04.11.2021 02;1.27;0.00
04.11.2021 03;2.03;0.00
04.11.2021 04;1.98;0.00
04.11.2021 05;1.90;0.00
04.11.2021 06;1.81;0.00
04.11.2021 07;0.00;1.33
04.11.2021 08;0.00;2.11
04.11.2021 09;0.00;1.27
